"table_name","column_name","data_type","is_nullable"
"bookings","booking_id","uuid","NO"
"bookings","user_id","uuid","YES"
"bookings","provider_id","uuid","YES"
"bookings","service_type","text","NO"
"bookings","status","text","YES"
"bookings","scheduled_time","timestamp without time zone","NO"
"bookings","completed_time","timestamp without time zone","YES"
"bookings","total_cost","numeric","NO"
"bookings","payment_status","text","YES"
"bookings","created_at","timestamp without time zone","YES"
"geography_columns","f_table_catalog","name","YES"
"geography_columns","f_table_schema","name","YES"
"geography_columns","f_table_name","name","YES"
"geography_columns","f_geography_column","name","YES"
"geography_columns","coord_dimension","integer","YES"
"geography_columns","srid","integer","YES"
"geography_columns","type","text","YES"
"geometry_columns","f_table_catalog","character varying","YES"
"geometry_columns","f_table_schema","name","YES"
"geometry_columns","f_table_name","name","YES"
"geometry_columns","f_geometry_column","name","YES"
"geometry_columns","coord_dimension","integer","YES"
"geometry_columns","srid","integer","YES"
"geometry_columns","type","character varying","YES"
"payments","payment_id","uuid","NO"
"payments","booking_id","uuid","YES"
"payments","user_id","uuid","YES"
"payments","amount","numeric","NO"
"payments","payment_method","text","NO"
"payments","payment_status","text","YES"
"payments","transaction_id","character varying","YES"
"payments","created_at","timestamp without time zone","YES"
"reviews","review_id","uuid","NO"
"reviews","user_id","uuid","YES"
"reviews","provider_id","uuid","YES"
"reviews","rating","double precision","YES"
"reviews","review_text","text","YES"
"reviews","created_at","timestamp without time zone","YES"
"service_providers","provider_id","uuid","NO"
"service_providers","user_id","uuid","YES"
"service_providers","service_type","text","NO"
"service_providers","experience","integer","YES"
"service_providers","availability","boolean","YES"
"service_providers","rating","double precision","YES"
"service_providers","location","USER-DEFINED","YES"
"service_providers","created_at","timestamp without time zone","YES"
"spatial_ref_sys","srid","integer","NO"
"spatial_ref_sys","auth_name","character varying","YES"
"spatial_ref_sys","auth_srid","integer","YES"
"spatial_ref_sys","srtext","character varying","YES"
"spatial_ref_sys","proj4text","character varying","YES"
"user_addresses","id","uuid","NO"
"user_addresses","user_id","uuid","YES"
"user_addresses","address_type","character varying","YES"
"user_addresses","street_address","text","YES"
"user_addresses","city","character varying","YES"
"user_addresses","state","character varying","YES"
"user_addresses","country","character varying","YES"
"user_addresses","postal_code","character varying","YES"
"user_addresses","is_primary","boolean","YES"
"user_addresses","created_at","timestamp with time zone","YES"
"user_auth_providers","id","uuid","NO"
"user_auth_providers","user_id","uuid","YES"
"user_auth_providers","provider","character varying","YES"
"user_auth_providers","provider_user_id","character varying","YES"
"user_auth_providers","created_at","timestamp with time zone","YES"
"user_auth_providers","last_used","timestamp with time zone","YES"
"user_phones","id","uuid","NO"
"user_phones","user_id","uuid","YES"
"user_phones","phone_type","character varying","YES"
"user_phones","phone_number","character varying","YES"
"user_phones","is_primary","boolean","YES"
"user_phones","verified","boolean","YES"
"user_phones","created_at","timestamp with time zone","YES"
"user_sessions","id","uuid","NO"
"user_sessions","user_id","uuid","YES"
"user_sessions","device_info","jsonb","YES"
"user_sessions","last_active","timestamp with time zone","YES"
"user_sessions","created_at","timestamp with time zone","YES"
"users","id","uuid","NO"
"users","firebase_uid","character varying","NO"
"users","name","character varying","NO"
"users","email","character varying","NO"
"users","phone","character varying","YES"
"users","address","text","YES"
"users","profile_image_url","character varying","YES"
"users","created_at","timestamp with time zone","YES"
"users","updated_at","timestamp with time zone","YES"
"users","last_login","timestamp with time zone","YES"
"users","is_active","boolean","YES"
"users","role","character varying","YES"
"users","street_address","text","YES"
"users","city","character varying","YES"
"users","state","character varying","YES"
"users","country","character varying","YES"
"users","postal_code","character varying","YES"
"users","notification_preferences","jsonb","YES"
"users","language_preference","character varying","YES"
"users","metadata","jsonb","YES"
